[12.18 14:32:55.138] [Log] Log started.
[12.18 14:32:55.782] [Program] Sentry initialized.
[12.18 14:32:55.796] [AppCenterBootstrapper] AppCenterBootstrapper started.
[12.18 14:32:55.796] [AppCenterBootstrapper] Microsoft Windows NT 10.0.19045.0
[12.18 14:32:55.797] [AppCenterBootstrapper] .NET Framework Registry Release Key Value: 533325
[12.18 14:32:55.798] [AppCenterBootstrapper] .NET Framework 4.8 or later is installed
[12.18 14:32:55.823] [AppCenterBootstrapper] InstallConfigurationManager: Reading InstallConfigurationData...
[12.18 14:33:06.000] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 37%, State: Processing, OperationStatus: Started
[12.18 14:33:06.974] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 38%, State: Processing, OperationStatus: Started
[12.18 14:33:07.013] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 39%, State: Processing, OperationStatus: Started
[12.18 14:33:07.086] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 40%, State: Processing, OperationStatus: Started
[12.18 14:33:07.146] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 41%, State: Processing, OperationStatus: Started
[12.18 14:33:07.187] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 42%, State: Processing, OperationStatus: Started
[12.18 14:33:07.244] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 43%, State: Processing, OperationStatus: Started
[12.18 14:33:07.281] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 44%, State: Processing, OperationStatus: Started
[12.18 14:33:07.320] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 45%, State: Processing, OperationStatus: Started
[12.18 14:33:07.358] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 46%, State: Processing, OperationStatus: Started
[12.18 14:33:07.397] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 47%, State: Processing, OperationStatus: Started
[12.18 14:33:08.143] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 48%, State: Processing, OperationStatus: Started
[12.18 14:33:08.265] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 49%, State: Processing, OperationStatus: Started
[12.18 14:33:08.384] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 50%, State: Processing, OperationStatus: Started
[12.18 14:33:08.476] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 51%, State: Processing, OperationStatus: Started
[12.18 14:33:08.534] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 52%, State: Processing, OperationStatus: Started
[12.18 14:33:08.585] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 53%, State: Processing, OperationStatus: Started
